"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Enhancing Energy Efficiency in Kubernetes Cluster Through Resource and Energy Aware Scheduling","S. Moorthi; E. E. Mon; C. Aswakul","Department of Electrical Engineering Faculty of Engineering, Wireless Network and Future Internet Research Unit, Chulalongkorn University, Bangkok, Thailand; Department of Electrical Engineering Faculty of Engineering, Wireless Network and Future Internet Research Unit, Chulalongkorn University, Bangkok, Thailand; Department of Electrical Engineering Faculty of Engineering, Wireless Network and Future Internet Research Unit, Chulalongkorn University, Bangkok, Thailand","2025 22nd International Conference on Electrical Engineering/Electronics, Computer, Telecommunications and Information Technology (ECTI-CON)","8 Aug 2025","2025","","","1","6","As the demand for cloud-native infrastructure grows, managing energy becomes increasingly essential for small-scale and large-scale Kubernetes clusters, including those within the IoTcloudServe@TEIN environment. The research introduces a resource and energy aware scheduler to optimize energy usage by dynamically managing node status and workload assignment. By considering workload demands, the scheduler enables worker nodes to be activated and deactivated, optimizing energy efficiency and resource allocation. The proposed algorithm is implemented as an extender on top of the default Kubernetes scheduler. The study shows the performance of the proposed scheduler against the default Kubernetes scheduler and the bin packing scheduler by focusing on energy and power utilization metrics. Experimental results reveal that the proposed resource and energy aware scheduler can significantly reduce energy consumption by up to 17% compared to the default Kubernetes scheduler and up to 18% compared to the bin-packing scheduler.","2837-6471","979-8-3315-2223-0","10.1109/ECTI-CON64996.2025.11101082","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11101082","Kubernetes cluster;energy efficiency;workload scheduling;resource utilization","Measurement;Energy consumption;Scheduling algorithms;Heuristic algorithms;Nonhomogeneous media;Energy efficiency;Scheduling;Telecommunications;Resource management;Information technology","","","","18","IEEE","8 Aug 2025","","","IEEE","IEEE Conferences"
"Container-level Energy Observability in Kubernetes Clusters","B. Pijnacker; B. Setz; V. Andrikopoulos","University of Groningen, Groningen, The Netherlands; University of Groningen, Groningen, The Netherlands; University of Groningen, Groningen, The Netherlands",2025 11th International Conference on ICT for Sustainability (ICT4S),"30 Sep 2025","2025","","","69","79","Kubernetes has been for a number of years the default cloud orchestrator solution across multiple application and research domains. As such, optimizing the energy efficiency of Kubernetes-deployed workloads is of primary interest towards controlling operational expenses by reducing energy consumption at data center level and allocated resources at application level. A lot of research in this direction aims on reducing the total energy usage of Kubernetes clusters without establishing an understanding of their workloads, i.e. the applications deployed on the cluster. This means that there are untapped potential improvements in energy efficiency that can be achieved through, for example, application refactoring or deployment optimization. For all these cases a prerequisite is establishing fine-grained observability down to the level of individual containers and their power draw over time. A state-of-the-art tool approved by the Cloud-Native Computing Foundation, Kepler, aims to provide this functionality, but has not been assessed for its accuracy and therefore fitness for purpose. In this work we start by developing an experimental procedure to this goal, and we conclude that the reported energy usage metrics provided by Kepler are not at a satisfactory level. As a reaction to this, we develop KubeWatt as an alternative to Kepler for specific use case scenarios, and demonstrate its higher accuracy through the same experimental procedure as we used for Kepler.","","979-8-3315-8717-8","10.1109/ICT4S68164.2025.00016","ITEA; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11179878","kubernetes;kepler;energy consumption;power draw;energy observability;empirical evaluation","Energy consumption;Accuracy;Power measurement;Energy measurement;Containers;Energy efficiency;Resource management;Observability;Sustainable development;Carbon footprint","","1","","15","IEEE","30 Sep 2025","","","IEEE","IEEE Conferences"
"POET: A Platform for O-RAN Energy Efficiency Testing","N. K. Shankaranarayanan; Z. Li; I. Seskar; P. Maddala; S. Puthenpura; A. Stancu; A. Agarwal","WINLAB, Rutgers University, NJ, USA; WINLAB, Rutgers University, NJ, USA; WINLAB, Rutgers University, NJ, USA; WINLAB, Rutgers University, NJ, USA; Open Networking Foundation, CA, USA; Open Networking Foundation, CA, USA; Cognizant, Bengaluru, India",2024 IEEE 100th Vehicular Technology Conference (VTC2024-Fall),"28 Nov 2024","2024","","","1","5","This paper presents a platform for measuring, evaluating and modeling the energy efficiency aspects of an O-RAN 5G wireless network. We describe our open-source based O-RAN testbed which includes both bare-metal and Kubernetes network functions, in addition to physical network components. We focus on measuring power consumption of servers and workloads of cloudified and virtualized network functions. We show that a combination of different power measurements can be used successfully to achieve the accuracy and granularity required for energy efficiency measurement, evaluation and modeling.","2577-2465","979-8-3315-1778-6","10.1109/VTC2024-Fall63153.2024.10757537","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10757537","O-RAN;Open RAN;Energy Efficiency;Test Methodology","Vehicular and wireless technologies;Cloud computing;Power measurement;Power demand;Wireless networks;Energy measurement;Open RAN;Energy efficiency;Servers;Testing","","2","","16","IEEE","28 Nov 2024","","","IEEE","IEEE Conferences"
"Kepler: A Framework to Calculate the Energy Consumption of Containerized Applications","M. Amaral; H. Chen; T. Chiba; R. Nakazawa; S. Choochotkaew; E. K. Lee; T. Eilam","IBM Research, Japan; Red Hat, USA; IBM Research, Japan; IBM Research, Japan; IBM Research, Japan; IBM Research, USA; IBM Research, USA",2023 IEEE 16th International Conference on Cloud Computing (CLOUD),"25 Sep 2023","2023","","","69","71","Energy accounting is crucial in data centers for optimizing power provisioning, capping, and tuning. This paper introduces the Kepler framework, which estimates power consumption at the process, container, and Kubernetes pod levels. Kepler offers a set of power models applicable to various architectures and metrics. In this study, we propose a generic power model that utilizes hardware counters (HC) and realtime system power metrics (e.g., running average power limit (RAPL)) as independent variables in a regression model. Unlike previous approaches that rely on aggregate power consumption, our methodology measures individual process power consumption to train the power model. We provide step-by-step instructions to measure process power consumption in a controlled environment, considering the activation constant and load-dependent dynamic power consumption in different executions. By following the Greenhouse Gas (GHG) Protocol, our approach ensures the fair distribution of constant power among the user's processes. The results demonstrate significantly improved accuracy with a mean squared error (MSE) as low as 0.010 for the proposed method, compared with an MSE of 0.16 for a simple ratio approach and 0.92 when training the model using aggregated workload power.","2159-6190","979-8-3503-0481-7","10.1109/CLOUD60044.2023.00017","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10254956","Sustainability;energy accounting;container power modeling;kubernetes;eBPF;RAPL","Measurement;Training;Cloud computing;Power demand;Power measurement;Protocols;Computational modeling","","17","","6","IEEE","25 Sep 2023","","","IEEE","IEEE Conferences"
"Gradient Beetle Honey Badger Optimization based container migration and optimal key selection using Firefly Honey Badger Algorithm in cloud computing","R. S; S. Soma","Government Polytechnic College, Kalaburagi, India; College of Engineering, Kalaburagi, India",2023 Global Conference on Information Technologies and Communications (GCITC),"18 Apr 2024","2023","","","1","6","Cloud migration involves virtual machines and containers, and the technology has many advantages, such as fault tolerance, manageability, load balancing, and energy efficiency. One of the biggest challenges in migration is securing the data that is migrated with the virtual machine or container. An effective approach for data security during container migration has been implemented using Gradient Beetle Honey Badger Optimization and Firefly Honey Badger Algorithm (GBHBA+FHBA) .At first, cloud model is simulated with PM, VM and containers. Here, tasks are assigned to VM in a round robin manner. The load prediction of VM and PM is done utilizing deep recurrent neural network (DRNN). Before container migration, data preservation is carried out using optimal key. The optimal key is selected employing Firefly Honey Badger Algorithm (FHBA), where FHBA is designed by combining Firefly algorithm (FA) and Honey Badger Algorithm (HBA). The container migration is conducted using proposed GBHBA by considering predicted load, migration cost, resource utilization, energy consumption and trust whereas GBHBA is the incorporation of Gradient Descent (GD) with Namib Beetle Optimization (NBO) and HBA. Additionally, GBHBA+FHBA attained minimum load of 0.126, minimum migration cost of 11.3 and minimum energy consumption of 0.041 respectively.","","979-8-3503-0816-7","10.1109/GCITC60406.2023.10426282","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10426282","Gradient Descent (GD);Firefly algorithm (FA);Namib Beetle Optimization (NBO);Honey Badger Algorithm (HBA);deep recurrent neural network (DRNN)","Energy consumption;Cloud computing;Costs;Containers;Prediction algorithms;Virtual machining;Optimization","","","","33","IEEE","18 Apr 2024","","","IEEE","IEEE Conferences"
"Using Neural Networks on Cloud Container’s Performance Comparison By R on Docker (ROCKER)","A. B. Gumelar; D. A. Lusia; A. Widodo; R. Felani","Faculty of Computer Science, Universitas Narotama Surabaya, Surabaya, Indonesia; Faculty of Computer Science, Universitas Narotama Surabaya, Surabaya, Indonesia; Faculty of Computer Science, Universitas Narotama Surabaya, Surabaya, Indonesia; Faculty of Computer Science, Universitas Narotama Surabaya, Surabaya, Indonesia",2018 International Symposium on Advanced Intelligent Informatics (SAIN),"25 Mar 2019","2018","","","32","36","Recently, containerization could give much experience with just run command and the containers help make software deployment run faster and more efficient. Docker is a ‘container’. On this container could run within existing operating system and build an environment that could build and testing the code. This paper presents our experiment work, and the advantage using neural networks on the cloud container’s based application, explores the features from it and to measure the performance from the host environment operating system and from the virtualization environment system. The comparison results from work metrics of two applications by R native environment and R on Docker (ROCKER) when processing the datasets, we find that computational time of neural networks from ROCKER when processing dataset with maximum time of 10 hidden neuron dataset is 29s.","","978-1-5386-5280-0","10.1109/SAIN.2018.8673356","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8673356","R;neural networks;docker;ROCKER;container’s application","Measurement;Cloud computing;Operating systems;Neurons;Machine learning;Containers;Software;Virtualization;Biological neural networks;Testing","","2","","15","IEEE","25 Mar 2019","","","IEEE","IEEE Conferences"
"Process-Based Efficient Power Level Exporter","M. Amaral; H. Chen; T. Chiba; R. Nakazawa; S. Choochotkaew; E. K. Lee; T. Eilam","IBM Research, Tokyo; Red Hat, USA; IBM Research, Tokyo; IBM Research, Tokyo; IBM Research, Tokyo; IBM Research, USA; IBM Research, USA",2024 IEEE 17th International Conference on Cloud Computing (CLOUD),"28 Aug 2024","2024","","","456","467","In this paper, we present the Kepler framework, designed to address the critical need for precise power and energy measurement in on-prem cloud-native, containerized environments, with a specific focus on processes, containers, and Kubernetes pods. The framework aims to support other tools in making informed decisions regarding provisioning, scheduling, and energy-optimization in cloud environments. Our approach involves leveraging the Kepler framework to create power models using Hardware Counters (HC), and real- time system power metrics from hardware sensors like x86 Running Average Power Limit (RAPL). Unlike previous methods that create and validate power models using aggregated system metrics, we propose a versatile process-level power model trained with per-process metrics. Those metrics are collected via a series of experiments in a controlled environment, measuring the incremental power consumption of processes under different scenarios. The collected data is then utilized to create a power model to be used in a shared cloud environment, and to validate the created power models using different set of input metrics. Our results show a significant improvement in the model accuracy compared to prior works, when incorporating per- process metrics and real-time system power metrics into the power estimation process. For instance, using the simplest power model, which is based on CPU utilization ratio, resulted in a Sum of Squared Error (SSE) of 75. In contrast, a power model created using aggregated system metrics, as the related works, had an SSE of 175 without real-time power metrics, and 5.6 with our proposed model refinement by normalizing the model results with the real-time system power metrics. On the other hand, training the power model with per-process metrics from controlled experiments yielded an SSE as low as 1.68 using real- time system power metrics, representing a 70% improvement in model accuracy compared to using aggregated system metrics, and an SSE 8.7 without power metrics, representing a 95% improvement in model accuracy. Furthermore, the results show that Kepler has a notable lower overhead by utilizing extended Berkeley Packet Filter (eBPF) for HC collection than alternative methods.","2159-6190","979-8-3503-6853-6","10.1109/CLOUD62652.2024.00058","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10643925","Sustainability;energy accounting;container power modeling;kubernetes;eBPF;and RAPL","Measurement;Cloud computing;Accuracy;Power demand;Power measurement;Estimation;Real-time systems","","2","","36","IEEE","28 Aug 2024","","","IEEE","IEEE Conferences"
"DEEP-Mon: Dynamic and Energy Efficient Power Monitoring for Container-Based Infrastructures","R. Brondolin; T. Sardelli; M. D. Santambrogio","Dipartimento di elettronica, DEIB Politecnico di Milano, Milano, Italy; Dipartimento di elettronica, DEIB Politecnico di Milano, Milano, Italy; Dipartimento di elettronica, DEIB Politecnico di Milano, Milano, Italy",2018 IEEE International Parallel and Distributed Processing Symposium Workshops (IPDPSW),"6 Aug 2018","2018","","","676","684","In the last few years energy efficiency of large scale infrastructures gained a lot of attention, as power consumption became one of the most impacting factors of the operative costs of a data-center and of its Total Cost of Ownership (TCO). Power consumption can be observed at different layers of the data-center, from the overall power grid, moving to each rack and arriving to each machine and system. Given the rise of application containers both in the cloud computing and High Performance Computing (HPC) scenarios, it becomes more and more important to measure power consumption also at the application level, where power-aware schedulers and orchestrators can optimize the execution of the workloads not only from a performance perspective, but also considering performance/power trade-offs. In this paper we propose DEEP-mon, a novel monitoring tool able to measure power consumption and attribute it for each thread and application container running in the system. Moreover, we show how the proposed approach has a negligible impact on the monitored system and on the running workloads, overcoming the limitations of the previous works in the field.","","978-1-5386-5555-9","10.1109/IPDPSW.2018.00110","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8425477","monitoring;power awareness;power attribution;application containers","Monitoring;Power demand;Power measurement;Containers;Data centers;Context;Tools","","14","","30","IEEE","6 Aug 2018","","","IEEE","IEEE Conferences"
"Energy Efficiency for Autonomic Scalable Systems: Research Objectives and Preliminary Results","R. Brondolin; M. Arnaboldi; T. Sardelli; S. Notargiacomo; M. D. Santambrogio","Politecnico di Milano, Milano, Italy; Politecnico di Milano, Milano, Italy; Politecnico di Milano, Milano, Italy; Politecnico di Milano, Milano, Italy; Politecnico di Milano, Milano, Italy",2018 IEEE 4th International Forum on Research and Technology for Society and Industry (RTSI),"29 Nov 2018","2018","","","1","5","Power awareness and power management techniques emerged as an interesting topic in the last decade in both cloud computing and fog computing scenarios. In this context, several emerging technologies are opening novel research challenges that should put together both power management and performance of the running workloads. In this context, energy proportionality can help those systems to match power and performance needs. In this paper we introduce E2 ASY, which aims at building an energy proportionality toolbox for cloud and embedded fog systems that provides solutions able to observe performance and power and managing them towards the desired goals. Preliminary results obtained on cloud systems shows negligible overhead on the monitored system and good results on power consumption reduction.","","978-1-5386-6282-3","10.1109/RTSI.2018.8548400","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8548400","Autonomic power management;ODA loop;cloud computing;fog computing","Cloud computing;Power demand;Monitoring;Edge computing;Runtime;Containers;Resource management","","","","22","IEEE","29 Nov 2018","","","IEEE","IEEE Conferences"
"Advancing Cloud Sustainability: A Versatile Framework for Container Power Model Training","S. Choochotkaew; C. Wang; H. Chen; T. Chiba; M. Amaral; E. K. Lee; T. Eilam","IBM Research, Tokyo, Japan; IBM Research, Yorktown Heights, U.S.A.; Red Hat Inc., Boston, U.S.A.; IBM Research, Tokyo, Japan; IBM Research, Tokyo, Japan; IBM Research, Yorktown Heights, U.S.A.; IBM Research, Yorktown Heights, U.S.A.","2023 31st International Symposium on Modeling, Analysis, and Simulation of Computer and Telecommunication Systems (MASCOTS)","16 Jan 2024","2023","","","1","4","Estimating power consumption in modern Cloud is important to account for the power consumed by each container. The challenge is that multiple customers are sharing the same hardware platform, where physical information is mostly obscured. In addition, there is the overhead in power consumption that the Cloud control plane induces. This paper addresses these challenges and introduces a pipeline framework for container power model training on the basis of available performance counters and other metrics. The proposed model utilizes machine learning techniques to predict the power consumed by the control plane and associated processes when running together with the user containers, and uses it for isolating the dynamic power consumed by the user-inducing workload. Applying the proposed power model does not require online power measurements, nor does it need machine information, or information on other tenants sharing the same machine. The results of cross-workload, cross-platform experiments demonstrated the higher accuracy of the model when predicting power consumption of unseen containers on unknown platforms, including on virtual machines.","2375-0227","979-8-3503-1948-4","10.1109/MASCOTS59514.2023.10387542","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10387542","Cloud;Green computing;Power model;Containers;Machine learning","Training;Measurement;Cloud computing;Analytical models;Power demand;Power measurement;Computational modeling","","1","","18","IEEE","16 Jan 2024","","","IEEE","IEEE Conferences"
