title,authors,year,source,source_dataset
enhancing energy efficiency in kubernetes cluster through resource and energy aware scheduling,S. Moorthi; E. E. Mon; C. Aswakul,2025,"2025 22nd International Conference on Electrical Engineering/Electronics, Computer, Telecommunications and Information Technology (ECTI-CON)",IEEE
container-level energy observability in kubernetes clusters,B. Pijnacker; B. Setz; V. Andrikopoulos,2025,2025 11th International Conference on ICT for Sustainability (ICT4S),IEEE
poet: a platform for o-ran energy efficiency testing,N. K. Shankaranarayanan; Z. Li; I. Seskar; P. Maddala; S. Puthenpura; A. Stancu; A. Agarwal,2024,2024 IEEE 100th Vehicular Technology Conference (VTC2024-Fall),IEEE
kepler: a framework to calculate the energy consumption of containerized applications,M. Amaral; H. Chen; T. Chiba; R. Nakazawa; S. Choochotkaew; E. K. Lee; T. Eilam,2023,2023 IEEE 16th International Conference on Cloud Computing (CLOUD),IEEE
gradient beetle honey badger optimization based container migration and optimal key selection using firefly honey badger algorithm in cloud computing,R. S; S. Soma,2023,2023 Global Conference on Information Technologies and Communications (GCITC),IEEE
using neural networks on cloud container’s performance comparison by r on docker (rocker),A. B. Gumelar; D. A. Lusia; A. Widodo; R. Felani,2018,2018 International Symposium on Advanced Intelligent Informatics (SAIN),IEEE
process-based efficient power level exporter,M. Amaral; H. Chen; T. Chiba; R. Nakazawa; S. Choochotkaew; E. K. Lee; T. Eilam,2024,2024 IEEE 17th International Conference on Cloud Computing (CLOUD),IEEE
deep-mon: dynamic and energy efficient power monitoring for container-based infrastructures,R. Brondolin; T. Sardelli; M. D. Santambrogio,2018,2018 IEEE International Parallel and Distributed Processing Symposium Workshops (IPDPSW),IEEE
energy efficiency for autonomic scalable systems: research objectives and preliminary results,R. Brondolin; M. Arnaboldi; T. Sardelli; S. Notargiacomo; M. D. Santambrogio,2018,2018 IEEE 4th International Forum on Research and Technology for Society and Industry (RTSI),IEEE
advancing cloud sustainability: a versatile framework for container power model training,S. Choochotkaew; C. Wang; H. Chen; T. Chiba; M. Amaral; E. K. Lee; T. Eilam,2023,"2023 31st International Symposium on Modeling, Analysis, and Simulation of Computer and Telecommunication Systems (MASCOTS)",IEEE
cost-based application placement optimization for integrated energy system using docker,N. Xiong; P. Yang; H. Li; Q. Wang,2021,2021 IEEE 4th International Electrical and Energy Conference (CIEEC),IEEE
a comprehensive experimentation framework for energy-efficient design of cloud-native applications,S. Werner; M. C. Borges; K. Wolf; S. Tai,2025,2025 IEEE 22nd International Conference on Software Architecture (ICSA),IEEE
application-independent dvfs method based on os metrics monitoring for cloud servers,H. Noguchi; M. Kaneko,2024,"2024 International Conference on Communications, Computing, Cybersecurity, and Informatics (CCCI)",IEEE
energy-aware scheduling in cloud-native environment,S. K. Tesfatsion; O. Gorbatov; X. Cai,2025,"2025 International Conference on Software, Telecommunications and Computer Networks (SoftCOM)",IEEE
a new infrastructure elasticity control algorithm for containerized cloud,W. A. Hanafy; A. E. Mohamed; S. A. Salem,2019,IEEE Access,IEEE
scalable and adaptive multi-access edge computing: a dynamic classification and containerization framework,M. AlMuharif; S. Sankaranarayanan; P. Lorenz,2025,"2025 International Conference on Software, Telecommunications and Computer Networks (SoftCOM)",IEEE
hyppo: hybrid performance-aware power-capping orchestrator,M. Arnaboldi; R. Brondolin; M. D. Santambrogio,2018,2018 IEEE International Conference on Autonomic Computing (ICAC),IEEE
"decentralized home computing network: leveraging iaas, paas, and saas for passive income generation with kubernetes clusters",R. R. R; T. S,2024,"2024 Third International Conference on Electrical, Electronics, Information and Communication Technologies (ICEEICT)",IEEE
presto: a latency-aware power-capping orchestrator for cloud-native microservices,R. Brondolin; M. D. Santambrogio,2020,2020 IEEE International Conference on Autonomic Computing and Self-Organizing Systems (ACSOS),IEEE
containerized deployment of secure llm workflows in multi-cloud infrastructures,J. P. Mohan; P. Ranganathan,2025,2025 IEEE Cloud Summit,IEEE
anomaly detection and root cause analysis of microservices energy consumption,M. S. Floroiu; S. Russo; L. Giamattei; A. Guerriero; I. Malavolta; R. Pietrantuono,2024,2024 IEEE International Conference on Web Services (ICWS),IEEE
an analysis of cloud cost optimization using machine learning,D. Bansal; P. Singh; A. Singh,2025,2025 International Conference on Data Science and Business Systems (ICDSBS),IEEE
implementation of gpu scheduling method for kubernetes,H. Li; M. Xu; Z. Li; Y. Wang,2023,2023 IEEE 7th Conference on Energy Internet and Energy System Integration (EI2),IEEE
bridging the benchmarking gap: performance evaluation of popular kubernates-based orchestration frameworks,P. Sathish; S. R. Avula; D. B U; A. G. Bhat,2025,2025 International Conference on Computing Technologies & Data Communication (ICCTDC),IEEE
