"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Brunnert, A.","Brunnert, Andreas (8561765400)","8561765400","Evaluating the Accuracy of Software Energy Consumption Models for Java Applications at Process and Transaction Levels","2025","Proceedings of the ACM SIGSOFT Symposium on the Foundations of Software Engineering","","","","1441","1448","0","10.1145/3696630.3728709","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013970670&doi=10.1145%2F3696630.3728709&partnerID=40&md5=c9a0c8000c81c2c414b0aed6f42cfd79","The energy consumption of software systems is hard to quantify because software does not consume energy itself but rather the hardware that it runs on. To address this challenge, technologies such as the Intel Running Average Power Limit (RAPL) interface have been developed to measure the energy consumed by various hardware resources at runtime. Additionally, specialized tools like JoularJX have been created to attribute RAPL measurements to individual software systems and their components. However, these tools are typically limited to software running directly on a server, without virtualization or containerization. In virtualized or containerized environments, direct energy measurements are only possible if the hypervisor or container runtime forwards this information to the guests-a practice not widely adopted, particularly in cloud environments. In such cases, energy consumption models are used to estimate software energy usage based on other metrics, such as CPU, memory, storage, or network utilization. One recently released tool following this approach is the OpenTelemetry Java-Agent extension (OTJAE), making it suitable for environments where direct measurements are not feasible. This study aims to evaluate the accuracy of JoularJX and OTJAE, along with their underlying models, in calculating energy consumption at both the process and transaction levels of Java applications. Both models under examination are based on CPU demand measurements. We are able to show that the model predictions match actual measurements obtained from a hardware server with high accuracy in medium and high load scenarios (50% to 100% CPU utilization) but vary significantly for lower load levels. © 2025 Copyright held by the owner/author(s).","Green IT; Green Software Engineering; Software Energy Consumption","Application programs; Computer hardware; Containers; Energy utilization; Green computing; Software agents; Virtual reality; Virtualization; Energy; Energy consumption model; Energy-consumption; Green software engineering; Green-IT; Java applications; Process levels; Software energy consumption; Software-systems; Transaction level; Java programming language","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105013970670"
"Kondratyev, D.; Riedel, B.; Chou, Y.-T.; Cochran-Branson, M.; Paladino, N.; Schultz, D.; Liu, M.; Duarte, J.; Harris, P.; Hsu, S.-C.","Kondratyev, Dmitry (57224311554); Riedel, Benedikt (57197584958); Chou, Yuantang (57196418475); Cochran-Branson, Miles G. (59537177100); Paladino, Noah (57219546217); Schultz, David (56438840400); Liu, Mia H. (58367490500); Duarte, Javier Mauricio (54392849500); Harris, Philip Coleman (57208119901); Hsu, Shih Chieh Hieh (55769746824)","57224311554; 57197584958; 57196418475; 59537177100; 57219546217; 56438840400; 58367490500; 54392849500; 57208119901; 55769746824","SuperSONIC: Cloud-Native Infrastructure for ML Inferencing","2025","","","","29","","","1","10.1145/3708035.3736049","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013078215&doi=10.1145%2F3708035.3736049&partnerID=40&md5=f9293cca7634af81144ea8708b3248dd","The increasing computational demand from growing data rates and complex machine learning (ML) algorithms in large-scale scientific experiments has driven the adoption of the Services for Optimized Network Inference on Coprocessors (SONIC) approach. SONIC accelerates ML inference by offloading it to local or remote coprocessors to optimize resource utilization. Leveraging its portability to different types of coprocessors, SONIC enhances data processing and model deployment efficiency for cutting-edge research in high energy physics (HEP) and multi-messenger astrophysics (MMA). We developed the SuperSONIC project, a scalable server infrastructure for SONIC, enabling the deployment of computationally intensive tasks to Kubernetes clusters equipped with graphics processing units (GPUs). Using NVIDIA Triton Inference Server, SuperSONIC decouples client workflows from server infrastructure, standardizing communication, optimizing throughput, load balancing, and monitoring. SuperSONIC has been successfully deployed for the CMS and ATLAS experiments at the CERN Large Hadron Collider (LHC), the IceCube Neutrino Observatory (IceCube), and the Laser Interferometer Gravitational-Wave Observatory (LIGO) and tested on Kubernetes clusters at Purdue University, the National Research Platform (NRP), and the University of Chicago. SuperSONIC addresses the challenges of the Cloud-native era by providing a reusable, configurable framework that enhances the efficiency of accelerator-based inference deployment across diverse scientific domains and industries. © 2025 Copyright held by the owner/author(s)","heterogeneous computing; inference as a service; machine learning","Astrophysics; Balancing; Cloud computing; Cluster computing; Complex networks; Computer graphics; Computer software reusability; Cutting; Gravitation; Green computing; High energy physics; Inference engines; Learning algorithms; Machine learning; Program processors; Co-processors; Complex machines; Computational demands; Data-rate; Heterogeneous computing; Ice cubes; Inference as a service; Machine-learning; Network inference; Server infrastructure; Graphics processing unit","Conference paper","Final","All Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105013078215"
"Haddad, T.; Kumarapeli, P.","Haddad, Tia (59297681500); Kumarapeli, Pushpa (13907399900)","59297681500; 13907399900","A Sustainable Approach to Processing Big Healthcare Data (BHD) Workloads","2025","Studies in Health Technology and Informatics","327","","","775","776","0","10.3233/SHTI250463","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005816714&doi=10.3233%2FSHTI250463&partnerID=40&md5=45156a61477169a03d6e39181b4a45a3","The growing volume of Big Healthcare Data (BHD) workloads requires sustainable solutions to minimise environmental impact. This poster presents a pilot architectural framework that leverages Microservices Architecture (MSA) to enhance the sustainability of BHD workflows. The framework optimises cloud scaling strategies by integrating energy-efficient models with autoscaling tools, such as Kubernetes Event-driven Autoscaling (KEDA) and Horizontal Pod Autoscaling (HPA). © 2025 The Authors.","Big Healthcare Data; Microservices Architecture Systems; Sustainable Healthcare Systems; Sustainable Software Engineering","Architecture; Big data; Computer architecture; Environmental impact; Green computing; Software engineering; Sustainable development; Architectural frameworks; Autoscaling; Big healthcare data; Healthcare systems; Microservice architecture system; Scalings; Sustainable healthcare system; Sustainable softwares; Sustainable solution; Work-flows; Energy efficiency; clinical article; conference paper; environmental impact; health care system; health data; human; human cell; pilot study; software; workflow; workload; big data; cloud computing; Big Data; Cloud Computing; Humans; Pilot Projects; Workflow; Workload","Conference paper","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105005816714"
"Sarabu, V.R.","Sarabu, Venkata Rahul (59511098300)","59511098300","Optimizing machine learning and deep learning software stacks for AI-specific cloud infrastructures","2025","","","","","431","478","0","10.4018/979-8-3693-9694-0.ch021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004780872&doi=10.4018%2F979-8-3693-9694-0.ch021&partnerID=40&md5=2cc682b1648c1f568490f55ec3d1b84b","Advancements in Artificial Intelligence (AI), particularly in Machine Learning (ML) and Deep Learning (DL), have driven innovation across industries like healthcare, finance, and education, necessitating robust, scalable cloud infrastructures to handle complex AI workloads (Zhang, Cheng, & Boutaba, 2010). This chapter examines the critical components of an optimized ML/DL software stack for AI-specific cloud environments, including frameworks, libraries, development kits, and cloud management software. It also explores advanced technologies like containerization, orchestration, and serverless computing, which ensure scalability and efficiency. Additionally, strategies for optimizing performance, improving energy efficiency, and enhancing workload distribution are discussed, with a focus on seamless integrationand operational cost-efficiency. The chapter offers practical insights into designing AI-specific cloud infrastructures that meet the computational demands of modern AI applications. © 2025 by IGI Global Scientific Publishing. All rights reserved.","","Advanced technology; Cloud environments; Cloud infrastructures; Cloud managements; Critical component; Learning software; Machine-learning; Management software; Optimizing performance; Software stacks; Deep learning","Book chapter","Final","","Scopus","2-s2.0-105004780872"
"Rukmini, S.; Soma, S.","Rukmini, S. (57961341300); Soma, Shridevi (57202212357)","57961341300; 57202212357","Enhanced beluga whale optimization-based container migration between virtual machines","2025","Multimedia Tools and Applications","84","14","","13691","13715","1","10.1007/s11042-024-19484-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004012390&doi=10.1007%2Fs11042-024-19484-2&partnerID=40&md5=8930411a5d489fa51316aaa6ecc02246","Container technology represents a dynamic and adaptable solution in the field of software development for cloud computing applications and services, presenting the advantages of both portability and operational efficiency. Cloud computing environments often require robust support for high-performance computing, necessitating the use of containers, which are similar to Virtual Machines (VMs) but more lightweight. Container placement within data centers is a critical fact of cloud computing, prompting research efforts in the field of service computing. In this research work an innovative approach, the Enhanced Beluga Whale Optimization (EBWO) based container migration between VM, designed to optimize energy consumption and load balancing in computing environments. The primary goal is to minimize energy consumption, especially during periods of high VM resource utilization when traditional optimization techniques tend to reduce in performance. To achieve this, the research leverages the EBWO for container consolidation, resulting in reduced energy consumption. Container migration techniques are utilized, allowing the seamless transfer of services from one VM to another, aided by the CRIU tool within CentOS 7. VM are created efficiently using the Ansible tool on IBM servers. The performance method attains load 0.0019 (L), migration cost 0.0406(ms), energy consumption 0.0453(kWh), no. of VM migration 2876(vm), SLA violations 2876(%), energy SLA violation 0.009(%), computational time 2.50(sec) and resources availability 0.9955 (%). © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.","Cloud computing; Container consolidation; Container migration; Enhanced Beluga Whale Optimization; Virtual machine","Application programs; Balancing; Cloud computing; Computer software portability; Containers; Energy utilization; Green computing; Network security; Software design; Beluga whales; Cloud-computing; Computing applications; Computing services; Container consolidation; Container migration; Energy-consumption; Enhanced beluga whale optimization; Optimisations; Performance; Virtual machine","Article","Final","","Scopus","2-s2.0-105004012390"
"Okafor, K.C.; Okafor, W.O.; Mary Longe, O.M.; Ignatius Ayogu, I.I.; Anoh, K.; Adebisi, B.","Okafor, Kennedy Chinedu (56728462700); Okafor, Wisdom O. (57469799800); Mary Longe, Omowunmi Mary (55026419700); Ignatius Ayogu, Ikechukwu (57202096868); Anoh, Kelvin O.O. (56029788200); Adebisi, B. (21833798800)","56728462700; 57469799800; 55026419700; 57202096868; 56029788200; 21833798800","Scalable Container-Based Time Synchronization for Smart Grid Data Center Networks","2025","Technologies","13","3","105","","","3","10.3390/technologies13030105","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001171454&doi=10.3390%2Ftechnologies13030105&partnerID=40&md5=53921deb6125429460beb9fe9c3b142c","The integration of edge-to-cloud infrastructures in smart grid (SG) data center networks requires scalable, efficient, and secure architecture. Traditional server-based SG data center architectures face high computational loads and delays. To address this problem, a lightweight data center network (DCN) with low-cost, and fast-converging optimization is required. This paper introduces a container-based time synchronization model (CTSM) within a spine–leaf virtual private cloud (SL-VPC), deployed via AWS CloudFormation stack as a practical use case. The CTSM optimizes resource utilization, security, and traffic management while reducing computational overhead. The model was benchmarked against five DCN topologies—DCell, Mesh, Skywalk, Dahu, and Ficonn—using Mininet simulations and a software-defined CloudFormation stack on an Amazon EC2 HPC testbed under realistic SG traffic patterns. The results show that CTSM achieved near-100% reliability, with the highest received energy data (29.87%), lowest packetization delay (13.11%), and highest traffic availability (70.85%). Stateless container engines improved resource allocation, reducing administrative overhead and enhancing grid stability. Software-defined Network (SDN)-driven adaptive routing and load balancing further optimized performance under dynamic demand conditions. These findings position CTSM-SL-VPC as a secure, scalable, and efficient solution for next-generation smart grid automation. © 2025 by the authors.","cloud computing; containerization; data center network; smart grid; software-defined network","Benchmarking; Binary decision diagrams; Cloud platforms; Grid computing; Plastic bottles; Trees (mathematics); Cloud infrastructures; Cloud-computing; Containerization; Data center networks; Grid data; Private clouds; Smart grid; Software-defined networks; Synchronization models; Time synchronization; Resource allocation","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105001171454"
"","","","11th IFIP WG 6.12 European Conference on Service-Oriented and Cloud Computing, ESOCC 2025","2025","Lecture Notes in Computer Science","15547 LNCS","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000016227&partnerID=40&md5=eb8bb94d192da2ed24cae15bf3bab2fc","The proceedings contain 18 papers. The special focus in this conference is on Service-Oriented and Cloud Computing. The topics include: SemT: A Framework for Enhancing Tabular Data Through Enrichment-as-a-Service; towards WebAssembly-Based Federated Learning; a Bio-inspired Leader-Based Energy Management System for Drone Fleets; carbon-Aware Software Services; comparative Analysis of Lightweight Kubernetes Distributions for Edge Computing: Performance and Resource Efficiency; comparative Analysis of Lightweight Kubernetes Distributions for Edge Computing: Security, Resilience and Maintainability; Enhancing Failure Resilience of Cloud-Edge Microservices: The FREEDA Approach; ML-Based Performance Modeling in Edge FaaS Systems; a Quantitative Privacy Evaluation Method Based on Tsallis Entropy for Trustworthy Data Sharing; SafeAR: Privacy-Maintenance in Augmented Reality Applications; deep Surrogate Models of Serverless Batch Processing Services; pyStorageLess: Leveraging Von Neumann’s Architecture to Abstract Storage Heterogeneity in Serverless Applications; A Conceptual Framework for API Refactoring in Service-Oriented Architectures; a Survey Study About the Impacts of Introducing a Microservices Cataloging Tool in a Large Software Development Unit; TOSCARISMA: Modeling CARISMA-Based Service Communication Using TOSCA; workflow Net Compositions for the Analysis of Service-Oriented Systems.","","","Conference review","Final","","Scopus","2-s2.0-86000016227"
"Lozinskyi, A.; Gladun, A.","Lozinskyi, Anatol (60139281600); Gladun, Anatoly Ya (25823057300)","60139281600; 25823057300","Optimizing the Energy Consumption of On-site Private Cloud Computing Platforms","2025","CEUR Workshop Proceedings","4049","","","91","100","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018671249&partnerID=40&md5=198599aa87596e3e8306ff69860413ad","Cloud computing offers advantages such as self-service and dynamic redistribution of resource structures, necessitating the development of effective algorithms for optimal use of hardware infrastructure. Recent studies highlight the problems of resource redistribution in on-site private cloud computing platforms software layers, affecting total energy consumption. Existing approaches to mathematical modeling use combinatorial optimization, game theory, and artificial intelligence but lack an integrated approach to energy consumption optimization. The proposed approach involves creating an original algorithm based on a multi-level architecture developed by the author. This architecture divides objects into seven functional layers, from hardware physical infrastructure to application SaaS layer. The algorithm aims to minimize electricity consumption by isolating critical parameters in the process of redistributing resource structures. The optimization problem is segmented into subproblems, allowing for efficient load placement and energy savings. The model is focused on optimizing the power consumption of on-site private cloud computing platforms using a well-known approach - reducing the number of hardware nodes involved. The idea is to switch off not only individual computing nodes but also cooling nodes when idle. The mathematical formulation of the resource allocation in on-site private cloud computing platforms problem is presented as a Multi-dimensional Bin packing. The algorithm employs dynamic programming to maximize load placement density and reduce the number of hardware nodes. The model provides support technologies for both virtual machines and software containers. The paper presents the original author's algorithm, Optimization of Programmable Infrastructure Resources (OPIR), focused on reducing electricity consumption through combinatorial optimization. © 2025 Copyright for this paper by its authors.","cloud computing; energy optimization; multi-layer architecture of system; on-site private cloud computing platforms; resource allocation","Cloud computing; Combinatorial optimization; Computation theory; Computer hardware; Dynamic programming; Dynamics; Electric power utilization; Energy efficiency; Game theory; Green computing; Memory architecture; Optimal systems; Structural optimization; Cloud computing platforms; Cloud-computing; Electricity-consumption; Energy optimization; Energy-consumption; Multi-layer architecture of system; Multi-layer architectures; On-site private cloud computing platform; Private clouds; Resources allocation; Resource allocation","Conference paper","Final","","Scopus","2-s2.0-105018671249"
"Falloon, M.; Ma, H.; Chen, G.","Falloon, Mathew (59374152700); Ma, Hui (55723485400); Chen, Gang (57226177152)","59374152700; 55723485400; 57226177152","Energy-Aware Resource Allocation and Container Migration in Distributed Data Centers Under Variable Energy Pricing: A Genetic Programming Hyper-Heuristic Approach","2025","IEEE International Conference on Cloud Computing, CLOUD","","","","233","242","0","10.1109/CLOUD67622.2025.00032","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016015557&doi=10.1109%2FCLOUD67622.2025.00032&partnerID=40&md5=7903df48968fa5c144272f3de65d228b","Containers have emerged as a prevalent mechanism for deploying software applications within cloud data centers, thereby abstracting many operational details from developers and transferring the responsibility of resource management to cloud service providers. These providers are continually motivated to reduce operational costs by optimizing both the placement of containers and the Virtual Machines (VMs) that host them, as efficient placement directly contributes to reduced energy expenditures. Furthermore, given that energy prices vary both temporally and geographically due to fluctuating power production, demand, and the increasing integration of renewable en-ergy sources, explicit consideration of dynamic, location-specific energy pricing is essential for informed resource allocation and container migration decisions. In this work, we propose a novel container-based cloud resource allocation model that integrates variable energy prices across multiple locations. To address this problem, we introduce an innovative Genetic Programming Hyper-Heuristic (GPHH) algorithm that concurrently evolves three heuristics for container allocation, VM placement, and container migration. A key technical novelty of our approach is the incorporation of newly designed terminals within the GPHH framework that are specifically engineered to capture and utilize the complex dynamic power pricing information. Experimental results demonstrate that our GPHH algorithm offers significant improvements over several state-of-the-art methods, thereby enhancing both cost efficiency and energy optimization in cloud environments. © 2025 IEEE.","Cloud resource allocation; Container migration; Cost optimization strategies; Genetic Programming; Green cloud solutions; Grid-aware system management","Cloud computing; Containers; Cost reduction; Distributed database systems; Energy efficiency; Genetic algorithms; Green computing; Heuristic algorithms; Heuristic methods; Information management; Power management; Resource allocation; Cloud resource allocation; Container migration; Cost optimization strategy; Costs Optimization; Green cloud solution; Green Clouds; Grid-aware system management; Optimization strategy; Resources allocation; Systems management; Genetic programming","Conference paper","Final","","Scopus","2-s2.0-105016015557"
"Belhadj, M.A.; Trabelsi, K.; Cudennec, L.; Charles, H.-P.","Belhadj, Mohamed Anisse (60092992900); Trabelsi, Kods (57217107475); Cudennec, Loïc (15065052000); Charles, Henri Pierre (24476273000)","60092992900; 57217107475; 15065052000; 24476273000","Software Container-based Energy Estimation Models for ARM Architecture","2025","","","","","1132","1139","0","10.1109/IPDPSW66978.2025.00177","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015550698&doi=10.1109%2FIPDPSW66978.2025.00177&partnerID=40&md5=57a05eb7636ac9da4f61850294ef550b","The exponential data growth from billions of sensors and connected devices has intensified the need for efficient energy management in embedded ARM-based systems. Traditional power estimation models primarily rely on CPU utilization, neglecting other critical factors like memory and network activity, which reduces accuracy. This paper proposes a fine-grained power estimation approach at the process and container level, employing machine-learning models trained on high-frequency monitoring of CPU, memory, and network usage through Performance Monitoring Counters (PMCs).Multiple machine-learning models, including XGBoost, Random Forest, and Bayesian Ridge Regression, are developed and evaluated across diverse real-world workloads to improve energy consumption predictions. Our findings show that XGBoost achieves the highest accuracy (MAPE 9.14%), while Bayesian Ridge Regression provides the fastest inference time, making it well-suited for real-time energy-aware decision-making. Additionally, our method enables precise separation of energy consumption at the process and container level, offering a more profound understanding of power distribution. These advancements support energy-efficient container scheduling and workload placement, enabling better resource management in edge-to-cloud environments and enhancing the overall sustainability of distributed computing systems. © 2025 IEEE.","ARM Architecture; Container; Performance Monitoring Counters; Power Consumption; Prediction models","Architecture; ARM processors; Bayesian networks; Cloud computing; Decision making; Embedded systems; Energy efficiency; Energy utilization; Green computing; Learning systems; Machine learning; Memory architecture; Network architecture; Power management; ARM architecture; Bayesian; Estimation models; Machine learning models; Performance monitoring counter; Performance-monitoring; Power; Power estimations; Prediction modelling; Ridge regression; Containers","Conference paper","Final","","Scopus","2-s2.0-105015550698"
